X=45 x 5mm Y=6 x 8mm z=0mm
X Y B
1 1 -0.0228 
2 1 -0.0260 
3 1 -0.0287 
4 1 -0.0282 
5 1 -0.0182 
6 1 +0.0105 
7 1 +0.0637 
8 1 +0.1378 
9 1 +0.2292 
10 1 +0.3389 
11 1 +0.4677 
12 1 +0.6124 
13 1 +0.7629 
14 1 +0.9040 
15 1 +1.0179 
16 1 +1.0941 
17 1 +1.1361 
18 1 +1.1550 
19 1 +1.1630 
20 1 +1.1654 
21 1 +1.1663 
22 1 +1.1673 
23 1 +1.1680 
24 1 +1.1703 
25 1 +1.1728 
26 1 +1.1765 
27 1 +1.1806 
28 1 +1.1840 
29 1 +1.1856 
30 1 +1.1820 
31 1 +1.1672 
32 1 +1.1298 
33 1 +1.0571 
34 1 +0.9435 
35 1 +0.8003 
36 1 +0.6441 
37 1 +0.4932 
38 1 +0.3575 
39 1 +0.2416 
40 1 +0.1442 
41 1 +0.0646 
42 1 +0.0062 
43 1 -0.0248 
44 1 -0.0344 
45 1 -0.0323 
45 2 -0.0163 
44 2 -0.0148 
43 2 -0.0061 
42 2 +0.0136 
41 2 +0.0459 
40 2 +0.0907 
39 2 +0.1468 
38 2 +0.21372
37 2 +0.2910 
36 2 +0.3743 
35 2 +0.4589 
34 2 +0.5356 
33 2 +0.5977 
32 2 +0.6405 
31 2 +0.6652 
30 2 +0.6769 
29 2 +0.6814 
28 2 +0.6818 
27 2 +0.6800 
26 2 +0.6777 
25 2 +0.6750 
24 2 +0.6733 
23 2 +0.6714 
22 2 +0.6704 
21 2 +0.6690 
20 2 +0.6676 
19 2 +0.6646 
18 2 +0.6578 
17 2 +0.6437 
16 2 +0.6166 
15 2 +0.5729 
14 2 +0.5110 
13 2 +0.4352 
12 2 +0.3534 
11 2 +0.2735 
10 2 +0.2006 
9 2 +0.1370 
8 2 +0.0844 
7 2 +0.0429 
6 2 +0.0128 
5 2 -0.0057 
4 2 -0.0146 
3 2 -0.0174 
2 2 -0.0174 
1 2 -0.0161 
1 3 -0.0089 
2 3 -0.0087 
3 3 -0.0081 
4 3 -0.0063 
5 3 -0.0034 
6 3 +0.0019 
7 3 +0.0096 
8 3 +0.0202 
9 3 +0.0337 
10 3 +0.0498 
11 3 +0.0683 
12 3 +0.0881 
13 3 +0.1085 
14 3 +0.1271 
15 3 +0.1424 
16 3 +0.1534 
17 3 +0.1609 
18 3 +0.1645 
19 3 +0.1674 
20 3 +0.1687 
21 3 +0.1693 
22 3 +0.1705 
23 3 +0.1715 
24 3 +0.1729 
25 3 +0.1738 
26 3 +0.1752 
27 3 +0.1763 
28 3 +0.1772 
29 3 +0.1773 
30 3 +0.1761 
31 3 +0.1729 
32 3 +0.1659 
33 3 +0.1548 
34 3 +0.1390 
35 3 +0.1195 
36 3 +0.0979 
37 3 +0.0764 
38 3 +0.0565 
39 3 +0.0391 
40 3 +0.0244 
41 3 +0.0130 
42 3 +0.0048 
43 3 -0.0002 
44 3 -0.0025 
45 3 -0.0032 
45 4 +0.0087 
44 4 +0.0068 
43 4 +0.0016 
42 4 -0.0085 
41 4 -0.0245 
40 4 -0.0461 
39 4 -0.0729 
38 4 -0.1042 
37 4 -0.1402 
36 4 -0.1788 
35 4 -0.2174 
34 4 -0.2529 
33 4 -0.2820 
32 4 -0.3022 
31 4 -0.3151 
30 4 -0.3220 
29 4 -0.3249 
28 4 -0.3261 
27 4 -0.3268 
26 4 -0.3271 
25 4 -0.3276 
24 4 -0.3280 
23 4 -0.3291 
22 4 -0.3292 
