X=45 x 5mm Y=6 x 8mm z=0mm
X Y B
21 4 -0.3304 
20 4 -0.3300 
19 4 -0.3292 
18 4 -0.3260 
17 4 -0.3186 
16 4 -0.3045 
15 4 -0.2829 
14 4 -0.2532 
13 4 -0.2176 
12 4 -0.1793 
11 4 -0.1410 
10 4 -0.1056 
9 4 -0.0749 
8 4 -0.0493 
7 4 -0.0286 
6 4 -0.0142 
5 4 -0.0050 
4 4 -0.0009 
3 4 +0.0004 
2 4 -0.0003 
1 4 -0.0015 
1 5 +0.0055 
2 5 +0.0086 
3 5 +0.0103 
4 5 +0.0089 
5 5 -0.0002 
6 5 -0.0220 
7 5 -0.0591 
8 5 -0.1107 
9 5 -0.1756 
10 5 -0.2532 
11 5 -0.3433 
12 5 -0.4422 
13 5 -0.5432 
14 5 -0.6374 
15 5 -0.7146 
16 5 -0.7691 
17 5 -0.8016 
18 5 -0.8179 
19 5 -0.8246 
20 5 -0.8267 
21 5 -0.8273 
22 5 -0.8262 
23 5 -0.8256 
24 5 -0.8252 
25 5 -0.8255 
26 5 -0.8258 
27 5 -0.8272 
28 5 -0.8273 
29 5 -0.8260 
30 5 -0.8207 
31 5 -0.8065 
32 5 -0.7767 
33 5 -0.7250 
34 5 -0.6491 
35 5 -0.5549 
36 5 -0.4515 
37 5 -0.3500 
38 5 -0.2572 
39 5 -0.1767 
40 5 -0.1087 
41 5 -0.0537 
42 5 -0.0133 
43 5 +0.0109 
44 5 +0.0213 
45 5 +0.0228 
45 6 +0.0388 
44 6 +0.0434 
43 6 +0.0359 
42 6 +0.0018 
41 6 -0.0658 
40 6 -0.1553 
39 6 -0.2625 
38 6 -0.3897 
37 6 -0.5395 
36 6 -0.7084 
35 6 -0.8847 
34 6 -1.0486 
33 6 -1.1788 
32 6 -1.2603 
31 6 -1.3007 
30 6 -1.3162 
29 6 -1.3207 
28 6 -1.3199 
27 6 -1.3180 
26 6 -1.3159 
25 6 -1.3145 
24 6 -1.3142 
23 6 -1.3143 
22 6 -1.3153 
21 6 -1.3166 
20 6 -1.3179 
19 6 -1.3171 
18 6 -1.3108 
17 6 -1.2912 
16 6 -1.2446 
15 6 -1.1573 
14 6 -1.0252 
13 6 -0.8623 
12 6 -0.6895 
11 6 -0.5258 
10 6 -0.3814 
9 6 -0.2592 
8 6 -0.1563 
7 6 -0.0714 
6 6 -0.0098 
5 6 +0.0208 
4 6 +0.0274 
3 6 +0.0236 
2 6 +0.0177 
1 6 +0.0123 
