X=45 x 5mm Y=6 x 8mm z=0mm
X Y B
1 1 +0.0025 
2 1 +0.0207 
3 1 +0.0650 
4 1 +0.1751 
5 1 +0.4450 
6 1 +1.0328 
7 1 +2.0512 
8 1 +03.470 
9 1 +05.243 
10 1 +07.375 
11 1 +09.849 
12 1 +12.601 
13 1 +15.446 
14 1 +18.104 
15 1 +20.234 
16 1 +21.668 
17 1 +22.467 
18 1 +22.844 
19 1 +23.008 
20 1 +23.078 
21 1 +23.106 
22 1 +23.129 
23 1 +23.138 
24 1 +23.148 
25 1 +23.154 
26 1 +23.152 
27 1 +23.152 
28 1 +23.131 
29 1 +23.081 
30 1 +22.941 
31 1 +22.609 
32 1 +21.883 
33 1 +20.538 
34 1 +18.455 
35 1 +15.821 
36 1 +12.942 
37 1 +10.132 
38 1 +07.600 
39 1 +05.426 
40 1 +03.607 
41 1 +02.146 
42 1 +1.0738 
43 1 +0.4536 
44 1 +0.1727 
45 1 +0.0626 
45 2 +0.0773 
44 2 +0.1829 
43 2 +0.4010 
42 2 +0.7925 
41 2 +1.4033 
40 2 +2.2335 
39 2 +03.280 
38 2 +04.528 
37 2 +05.964 
36 2 +07.515 
35 2 +09.063 
34 2 +10.465 
33 2 +11.595 
32 2 +12.381 
31 2 +12.847 
30 2 +13.091 
29 2 +13.213 
28 2 +13.258 
27 2 +13.278 
26 2 +13.281 
25 2 +13.281 
24 2 +13.279 
23 2 +13.266 
22 2 +13.254 
21 2 +13.240 
20 2 +13.205 
19 2 +13.146 
18 2 +13.003 
17 2 +12.738 
16 2 +12.234 
15 2 +11.419 
14 2 +10.273 
13 2 +08.854 
12 2 +07.320 
11 2 +05.794 
10 2 +04.390 
9 2 +03.166 
8 2 +02.148 
7 2 +1.3447 
6 2 +0.7609 
5 2 +0.3843 
4 2 +0.1756 
3 2 +0.0725 
2 2 +0.0257 
1 2 +0.0053 
1 3 -0.0027 
2 3 +0.0037 
3 3 +0.0179 
4 3 +0.0475 
5 3 +0.1036 
6 3 +0.1996 
7 3 +0.3441 
8 3 +0.5429 
9 3 +0.7946 
10 3 +1.0954 
11 3 +1.4429 
12 3 +1.8168 
13 3 +2.1943 
14 3 +2.5452 
15 3 +02.829 
16 3 +03.038 
17 3 +03.181 
18 3 +03.254 
19 3 +03.306 
20 3 +03.324 
21 3 +03.339 
22 3 +03.356 
23 3 +03.362 
24 3 +03.372 
25 3 +03.372 
26 3 +03.379 
27 3 +03.381 
28 3 +03.375 
29 3 +03.365 
30 3 +03.330 
31 3 +03.258 
32 3 +03.131 
33 3 +02.930 
34 3 +02.645 
35 3 +02.294 
36 3 +1.9113 
37 3 +1.5229 
38 3 +1.1621 
39 3 +0.8467 
40 3 +0.5828 
41 3 +0.3737 
42 3 +0.2194 
43 3 +0.1174 
44 3 +0.0574 
45 3 +0.0264 
45 4 -0.0444 
44 4 -0.1040 
43 4 -0.2203 
42 4 -0.4205 
41 4 -0.7236 
40 4 -1.1333 
39 4 -1.6462 
38 4 -2.2563 
37 4 -02.945 
36 4 -03.689 
35 4 -04.431 
34 4 -05.107 
33 4 -05.656 
32 4 -06.043 
31 4 -06.290 
30 4 -06.424 
29 4 -06.490 
28 4 -06.527 
27 4 -06.547 
26 4 -06.554 
25 4 -06.562 
24 4 -06.569 
23 4 -06.571 
22 4 -06.579 
21 4 -06.579 
20 4 -06.575 
19 4 -06.544 
18 4 -06.482 
17 4 -06.336 
16 4 -06.087 
15 4 -05.686 
14 4 -05.125 
13 4 -04.447 
12 4 -03.691 
11 4 -02.940 
10 4 -02.251 
9 4 -1.6432 
8 4 -1.1314 
7 4 -0.7246 
6 4 -0.4267 
5 4 -0.2289 
4 4 -0.1144 
3 4 -0.0552 
2 4 -0.0273 
1 4 -0.0149 
1 5 -0.0197 
2 5 -0.0405 
3 5 -0.0912 
4 5 -0.2071 
5 5 -0.4542 
6 5 -0.9174 
7 5 -1.6528 
8 5 -2.6664 
9 5 -03.939 
10 5 -05.476 
11 5 -07.247 
12 5 -09.183 
13 5 -11.144 
14 5 -12.941 
15 5 -14.391 
16 5 -15.398 
17 5 -15.993 
18 5 -16.313 
19 5 -16.442 
20 5 -16.504 
21 5 -16.523 
22 5 -16.526 
23 5 -16.523 
24 5 -16.517 
25 5 -16.511 
26 5 -16.499 
27 5 -16.493 
28 5 -16.458 
29 5 -16.398 
30 5 -16.261 
31 5 -15.973 
32 5 -15.400 
33 5 -14.436 
34 5 -13.016 
35 5 -11.234 
36 5 -09.276 
37 5 -07.330 
38 5 -05.548 
39 5 -03.999 
40 5 -02.705 
41 5 -1.6770 
42 5 -0.9225 
43 5 -0.4469 
44 5 -0.1938 
45 5 -0.0765 
45 6 -0.0396 
44 6 -0.1251 
43 6 -0.3768 
42 6 -1.0339 
41 6 -2.2677 
40 6 -03.930 
39 6 -05.980 
38 6 -08.439 
37 6 -11.337 
36 6 -14.588 
35 6 -17.945 
34 6 -21.041 
33 6 -23.472 
32 6 -25.026 
31 6 -25.817 
30 6 -26.167 
29 6 -26.307 
28 6 -26.359 
27 6 -26.383 
26 6 -26.392 
25 6 -26.399 
24 6 -26.402 
23 6 -26.410 
