X=45 x 5mm Y=6 x 8mm z=0mm
X Y B
1 1 +0.0273 
2 1 +0.0669 
3 1 +0.1587 
4 1 +0.3793 
5 1 +0.9091 
6 1 +2.0576 
7 1 +04.032 
8 1 +06.794 
9 1 +10.221 
10 1 +14.355 
11 1 +19.196 
12 1 +24.591 
13 1 +030.19 
14 1 +035.36 
15 1 +039.49 
16 1 +042.29 
17 1 +043.84 
18 1 +044.59 
19 1 +044.91 
20 1 +045.05 
21 1 +045.10 
22 1 +045.14 
23 1 +045.16 
24 1 +045.17 
25 1 +045.17 
26 1 +045.18 
27 1 +045.17 
28 1 +045.12 
29 1 +045.03 
30 1 +044.74 
31 1 +044.09 
32 1 +042.70 
33 1 +040.07 
34 1 +036.02 
35 1 +030.88 
36 1 +025.25 
37 1 +19.749 
38 1 +14.798 
39 1 +10.583 
40 1 +07.070 
41 1 +04.225 
42 1 +02.145 
43 1 +0.9315 
44 1 +0.3801 
45 1 +0.1574 
45 2 +0.1704 
44 2 +0.3804 
43 2 +0.8076 
42 2 +1.5729 
41 2 +2.7629 
40 2 +04.373 
39 2 +06.411 
38 2 +08.825 
37 2 +11.604 
36 2 +14.607 
35 2 +17.632 
34 2 +20.372 
33 2 +22.576 
32 2 +24.102 
31 2 +25.031 
30 2 +25.512 
29 2 +25.744 
28 2 +25.836 
27 2 +25.878 
26 2 +25.896 
25 2 +25.883 
24 2 +25.877 
23 2 +25.865 
22 2 +25.844 
21 2 +25.810 
20 2 +25.745 
19 2 +25.625 
18 2 +25.351 
17 2 +24.826 
16 2 +23.847 
15 2 +22.252 
14 2 +20.003 
13 2 +17.233 
12 2 +14.230 
11 2 +11.273 
10 2 +08.560 
9 2 +06.192 
8 2 +04.210 
7 2 +02.647 
6 2 +1.5086 
5 2 +0.7743 
4 2 +0.3653 
3 2 +0.1621 
2 2 +0.0686 
1 2 +0.0267 
1 3 +0.0024 
2 3 +0.0154 
3 3 +0.0436 
4 3 +0.1015 
5 3 +0.2112 
6 3 +0.3982 
7 3 +0.6807 
8 3 +1.0655 
9 3 +1.5574 
10 3 +2.1428 
11 3 +02.818 
12 3 +03.546 
13 3 +04.281 
14 3 +04.959 
15 3 +05.518 
16 3 +05.936 
17 3 +06.196 
18 3 +06.346 
19 3 +06.445 
20 3 +06.492 
21 3 +06.515 
22 3 +06.537 
23 3 +06.547 
24 3 +06.575 
25 3 +06.570 
26 3 +06.591 
27 3 +06.587 
28 3 +06.576 
29 3 +06.552 
30 3 +06.477 
31 3 +06.356 
32 3 +06.095 
33 3 +05.709 
34 3 +05.154 
35 3 +04.475 
36 3 +03.722 
37 3 +02.967 
38 3 +02.269 
39 3 +1.6584 
40 3 +1.1432 
41 3 +0.7360 
42 3 +0.4355 
43 3 +0.2352 
44 3 +0.1177 
45 3 +0.0559 
45 4 -0.0973 
44 4 -0.2150 
43 4 -0.4432 
42 4 -0.8330 
41 4 -1.4231 
40 4 -2.2192 
39 4 -03.213 
38 4 -04.400 
37 4 -05.759 
36 4 -07.213 
35 4 -08.655 
34 4 -09.973 
33 4 -11.033 
32 4 -11.794 
31 4 -12.269 
30 4 -12.540 
29 4 -12.673 
28 4 -12.739 
27 4 -12.770 
26 4 -12.796 
25 4 -12.813 
24 4 -12.823 
23 4 -12.840 
22 4 -12.837 
21 4 -12.845 
20 4 -12.827 
19 4 -12.773 
18 4 -12.642 
17 4 -12.369 
16 4 -11.880 
15 4 -11.100 
14 4 -10.019 
13 4 -08.678 
12 4 -07.214 
11 4 -05.754 
10 4 -04.403 
9 4 -03.205 
8 4 -02.208 
7 4 -1.4215 
6 4 -0.8391 
5 4 -0.4531 
4 4 -0.2277 
3 4 -0.1105 
2 4 -0.0542 
1 4 -0.0289 
1 5 -0.0453 
2 5 -0.0903 
3 5 -0.1926 
4 5 -0.4227 
5 5 -0.9067 
6 5 -1.8106 
7 5 -03.242 
8 5 -05.220 
9 5 -07.719 
10 5 -10.719 
11 5 -14.164 
12 5 -17.937 
13 5 -21.747 
14 5 -25.269 
15 5 -028.07 
16 5 -030.05 
17 5 -031.23 
18 5 -031.83 
19 5 -032.11 
20 5 -032.22 
21 5 -032.25 
22 5 -032.27 
23 5 -032.26 
24 5 -032.25 
25 5 -032.23 
26 5 -032.21 
27 5 -032.18 
28 5 -032.15 
29 5 -032.01 
30 5 -031.73 
31 5 -031.17 
32 5 -030.05 
33 5 -028.16 
34 5 -025.37 
35 5 -021.89 
36 5 -18.105 
37 5 -14.324 
38 5 -10.846 
39 5 -07.831 
40 5 -05.309 
41 5 -03.302 
42 5 -1.8319 
43 5 -0.9051 
44 5 -0.4081 
45 5 -0.1759 
45 6 -0.1179 
44 6 -0.2937 
43 6 -0.7895 
42 6 -2.0705 
41 6 -04.460 
40 6 -07.721 
39 6 -11.710 
38 6 -16.496 
37 6 -22.133 
36 6 -028.47 
35 6 -035.05 
34 6 -041.04 
33 6 -045.77 
32 6 -048.78 
31 6 -050.31 
30 6 -050.99 
29 6 -051.27 
28 6 -051.38 
27 6 -051.41 
26 6 -051.44 
25 6 -051.46 
24 6 -051.47 
23 6 -051.48 
22 6 -051.48 
21 6 -051.48 
20 6 -051.44 
19 6 -051.35 
18 6 -051.07 
17 6 -050.32 
16 6 -048.66 
15 6 -045.49 
14 6 -040.68 
13 6 -034.65 
12 6 -028.06 
11 6 -021.77 
10 6 -16.265 
9 6 -11.512 
8 6 -07.557 
7 6 -04.347 
6 6 -02.033 
5 6 -0.8055 
4 6 -0.3198 
3 6 -0.1406 
2 6 -0.0693 
1 6 -0.0377 
